system:index,cloud_cover,date,mean,name,zone,.geo
LC08_146040_20230407_1,0.0,2023-04-07,38.28114644000004,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146040_20230407_2,0.0,2023-04-07,34.97592110000005,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146040_20230407_3,0.0,2023-04-07,37.38904322000002,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146040_20230407_4,0.0,2023-04-07,35.498878160000004,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146040_20230407_5,0.0,2023-04-07,34.476890180000055,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
LC08_146040_20230407_6,0.0,2023-04-07,38.78701339999998,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146040_20230407_7,0.0,2023-04-07,35.57407460000002,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146040_20230407_8,0.0,2023-04-07,38.151261680000005,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146040_20230407_9,0.0,2023-04-07,36.04576136000003,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146040_20230509_0,0.1,2023-05-09,39.309970460000045,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146040_20230509_1,0.1,2023-05-09,41.15228324000003,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146040_20230509_2,0.1,2023-05-09,37.365117080000005,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146040_20230509_3,0.1,2023-05-09,41.39496266000003,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146040_20230509_4,0.1,2023-05-09,41.95209992000002,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146040_20230509_5,0.1,2023-05-09,36.13804790000006,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
LC08_146040_20230509_6,0.1,2023-05-09,45.10009634000005,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146040_20230509_7,0.1,2023-05-09,40.37981072000002,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146040_20230509_8,0.1,2023-05-09,40.40715488000001,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146040_20230509_9,0.1,2023-05-09,39.74405899999999,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146040_20230610_0,0.04,2023-06-10,44.20115708000003,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146040_20230610_1,0.04,2023-06-10,46.34425562000001,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146040_20230610_2,0.04,2023-06-10,44.97021158000001,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146040_20230610_3,0.04,2023-06-10,45.79053638000005,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146040_20230610_4,0.04,2023-06-10,44.748040280000055,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146040_20230610_5,0.04,2023-06-10,42.393024500000024,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
LC08_146040_20230610_6,0.04,2023-06-10,48.712943480000035,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146040_20230610_7,0.04,2023-06-10,45.90674906000004,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146040_20230610_8,0.04,2023-06-10,46.56984494000005,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146040_20230610_9,0.04,2023-06-10,44.33445986000004,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146040_20230829_0,2.36,2023-08-29,37.218142220000004,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146040_20230829_1,2.36,2023-08-29,39.52872374000003,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146040_20230829_2,2.36,2023-08-29,34.907560699999976,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146040_20230829_3,2.36,2023-08-29,38.903226080000024,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146040_20230829_4,2.36,2023-08-29,40.09611505999999,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146040_20230829_5,2.36,2023-08-29,33.12335426000004,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
